time.seconds,meta.browser,meta.OS,meta.resolution,sample,subject,condition,condition.sample,time.instructions1,time.instructions2,time.instructions3,warmup.time,threatens.time,shoves.time,slaps.time,pepper.time,hose.time,hurts.time,baton.time,taser.time,knocks.time,beatup.time,gas.time,rubber.time,finger.time,chokes.time,prod.time,burns.time,legs.time,stabs.time,shoots.time,torture.time,blinds.time,paralyze.time,kills.time,torkill.time,warmup.answer,threatens.answer,shoves.answer,slaps.answer,pepper.answer,hose.answer,hurts.answer,baton.answer,taser.answer,knocks.answer,beatup.answer,gas.answer,rubber.answer,finger.answer,chokes.answer,prod.answer,burns.answer,legs.answer,stabs.answer,shoots.answer,torture.answer,blinds.answer,paralyze.answer,kills.answer,torkill.answer,warmup.positive,threatens.positive,shoves.positive,slaps.positive,pepper.positive,hose.positive,hurts.positive,baton.positive,taser.positive,knocks.positive,beatup.positive,gas.positive,rubber.positive,finger.positive,chokes.positive,prod.positive,burns.positive,legs.positive,stabs.positive,shoots.positive,torture.positive,blinds.positive,paralyze.positive,kills.positive,torkill.positive,warmup.negative,threatens.negative,shoves.negative,slaps.negative,pepper.negative,hose.negative,hurts.negative,baton.negative,taser.negative,knocks.negative,beatup.negative,gas.negative,rubber.negative,finger.negative,chokes.negative,prod.negative,burns.negative,legs.negative,stabs.negative,shoots.negative,torture.negative,blinds.negative,paralyze.negative,kills.negative,torkill.negative,warmup.confidence,threatens.confidence,shoves.confidence,slaps.confidence,pepper.confidence,hose.confidence,hurts.confidence,baton.condifence,taser.confidence,knocks.confidence,beatup.confidence,gas.confidence,rubber.confidence,finger.confidence,chokes.confidence,prod.confidence,burns.confidence,legs.confidence,stabs.confidence,shoots.confidence,torture.confidence,blinds.confidence,paralyze.confidence,kills.confidence,torkill.confidence,order.threat,order.shove,order.hose,order.taser,order.pepper,order.tear,order.slap,order.hurt,order.baton,order.rubber,order.beats,order.knocks,order.choke,order.prod,order.stab,order.finger,order.shoots,order.burns,order.legs,order.blinds,order.paralyze,order.torture,order.kill,order.torturekill,md.MoralJustification,md.EuphemisticLabel,md.AdvComparison,md.DisplaceResp,md.DiffusionRes,md.DistortConseq,md.AttributeBlame,md.Dehumanization,md.Index,demo.age,demo.age.thirds,demo.gender,demo.gender.code,demo.race,demo.race.code,demo.race.binary,comments,attn.check.1,attn.check.2,attn.check.sum,md.moraljustification.split,md.dispresp.split,md.distortconseq.split,md.dehumanization.split,md.euphamistic.split,md.advcompare.split,md.diffusionresp.split,md.attribute.blame.split,md.index.split,filter_$,warmup.time.clean,threatens.time.clean,shoves.time.clean,slaps.time.clean,pepper.time.clean,hose.time.clean,hurts.time.clean,baton.time.clean,taser.time.clean,knocks.time.clean,beatup.time.clean,gas.time.clean,rubber.time.clean,finger.time.clean,chokes.time.clean,prod.time.clean,burns.time.clean,legs.time.clean,stabs.time.clean,shoots.time.clean,torture.time.clean,blinds.time.clean,paralyze.time.clean,kills.time.clean,torkill.time.clean,time.global.avg,time.clean.global.avg,harm1,harm2,harm3,harm4,harm5,harm6,fair1,fair2,fair3,fair4,fair5,fair6,loyal1,loyal2,loyal3,loyal4,loyal5,loyal6,authority1,authority2,authority3,authority4,authority5,authority6,purity1,purity2,purity3,purity4,purity5,purity6,MFQ.Harm,MFQ.Fair,MFQ.Loyal,MFQ.Authority,MFQ.Purity,MFQ.Harm.Split,MFQ.Fair.Split,MFQ.Loyal.Split,MFQ.Authority.Split,MFQ.Purity.Split,Harm_Salience,Fairness_Salience,Loyalty_Salience,Authority_Salience,Purity_Salience
1069,Chrome,Macintosh,1440x900,2,712,1,3,1.76,2.84,15.91,5.28,2.15,1.74,1.35,5.33,3.5,3.04,1.77,5.47,.97,2.01,11.97,1.67,8.45,1.6,3.23,.86,2.22,3.96,3.87,11.78,3.75,4.59,5.4,2.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,7,5,5,5,4,2,4,3,4,5,4,2,3,2,1,2,2,3,2,3,1,1,1,1,1,3,1,1,2,2,4,2,4,2,1,2,4,4,4,5,4,4,3,4,3,5,5,5,5,5,7,5,5,5,4,2,4,2,3,5,3,3,2,3,1,3,3,3,2,3,1,1,2,1,4,1,1,4,3,3,2,1,2,2,3,1,2,4,3,5,4,4,5,5,5,6,6,6,6,4,3.25,2.5,2.25,2,2.75,2.5,2.5,2.71875,20,1,Male,1,White,12,2,N/A, , ,0,3,3,3,3,3,3,2,3,3,1,5.28,2.15,1.74,1.35,5.33,3.5,3.04,1.77,5.47,.97,2.01,11.97,1.67,8.45,1.6,3.23,.86,2.22,3.96,3.87,11.78,3.75,4.59,5.4,2.45,3.88041666666667,3.88041666666667,6,5,6,6,3,5,5,6,5,5,3,2,3,6,2,5,4,5,2,5,2,5,2,3,5,6,5,6,2,2,5.16666666666667,4.33333333333333,4.16666666666667,3.16666666666667,4.33333333333333,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
1068,Chrome,Android 7.0,412x732,1,62,2,2,1.19,2.59,1.65,15.43,3.3,1.43,2.03,2.19,3.74,2.42,3.42,2.73,4.89,1.98,4.23,1.85,2.53,4.79,1.93,2.67,2.81,2.87,6.03,7.99,9.24,2.63,5.04,4.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,3,4,3,5,5,1,5,5,1,5,5,5,2,3,5,5,1,3,3,3,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,4,5,1,1,2,1,3,4,1,2,3,2,3,5,4,2,4,6,5,5,3,5,6,4,6,6,2.75,1.75,1.75,1,3.5,1,2.75,1.25,1.96875,39,3,Male,1,Korean,1,1,No, , ,0,2,1,1,1,1,2,3,3,2,1,15.43,3.3,1.43,2.03,2.19,3.74,2.42,3.42,2.73,4.89,1.98,4.23,1.85,2.53,4.79,1.93,2.67,2.81,2.87,6.03,7.99,9.24,2.63,5.04,4.49,3.63458333333333,3.63458333333333,3,3,6,4,3,6,3,5,3,5,3,4,1,5,3,2,6,4,4,1,5,2,6,1,6,2,6,1,6,5,4.16666666666667,3.83333333333333,3.5,3.16666666666667,4.33333333333333,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
759,Chrome,Windows NT 10.0,1536x864,2,788,1,3,4.25,3.45,4.09,8.03,1.25,2.08,1.1,5.78,3.75,7.83,4.7,1.95,1.48,1.47,4.54,2.12,2.03,5.23,1.49,1.63,7.56,5.03,6.66,1.65,3.15,5.09,1.4,2.35,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,3,1,1,3,3,3,3,3,5,3,4,4,4,2,2,4,4,2,2,3,4,3,2,2,2,2,2,2,2,3,4,4,3,4,3,2,2,3,4,4,3,2,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,2,2,4,4,3,2,3,3,3,3,3,3,2,2,2,3,2,3,3,3,1,1,3,4,3,4,1,1,2,2,3,3,2,4,6,2,5,4,5,5,6,6,5,6,3.25,2.5,2.25,2.5,2.5,1.75,1.5,1.25,2.1875,23,2,female,2,Caucasian,12,2, , , ,0,3,3,2,1,2,3,2,1,2,1,8.03,1.25,2.08,1.1,5.78,3.75,7.83,4.7,1.95,1.48,1.47,4.54,2.12,2.03,5.23,1.49,1.63,7.56,5.03,6.66,1.65,3.15,5.09,1.4,2.35,3.38833333333333,3.38833333333333,6,5,6,6,6,6,4,5,6,4,4,3,2,3,2,4,4,3,2,3,5,3,4,2,5,4,5,4,4,4,5.83333333333333,4.33333333333333,3,3.16666666666667,4.33333333333333,3,2,2,2,2,High,Moderate,Moderate,Moderate,Moderate
897,Safari,Macintosh,1280x800,2,629,2,4,5.32,4.84,4.52,6.3,1.61,2.06,1.54,2.25,2.81,2.23,2.79,2.42,2.93,4.06,2.38,15.08,2.8,2.39,2.05,1.94,1.52,0,7.73,1.7,2.18,1.97,1.82,2.45,1,1,1,1,1,1,1,1,2,2,3,2,1,1,2, ,3,2,3,3,3,3,3,3,3,5,4,5,5,2,4,3,3,2,4,3,4,3,4,3,3,2,2,4,3,1,1,1,1,1,1,2,1,2,4,2,3,3,4,2,3,2,3,3,3,3,4,4,2,3,5,5,5,5,5,5,5,5,5,4,4,3,3,4,5,3,5,3,4,4,3,4,4,5,3,4,5,5,5,5,1,1,3,1,2,3,1,4,2,6,2,2,3,4,4,5,5,3,4,5,6,5,6,6,4.25,3.75,3.5,4,2.5,3.25,3.75,2.25,3.40625,21,2,Male,1,Asian,1,1,"I clicked ""strongly agree"" on the question that said ""all people should skip this to show their attention/alertness"", then i realized i was suppose to skip it, but did not know how to go back.", ,5,.5,3,3,3,3,3,3,2,3,3,1,6.3,1.61,2.06,1.54,2.25,2.81,2.23,2.79,2.42,2.93,4.06,2.38,15.08,2.8,2.39,2.05,1.94,1.52,0,7.73,1.7,2.18,1.97,1.82,2.45,2.94625,2.94625,4,4,4,4,6,5,4,5,3,5,5,4,1,3,4,1,5,4,2,2,3,3,4,5,4,5,6,4,4,3,4.5,4.33333333333333,3,3.16666666666667,4.33333333333333,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
822,Edge,Windows NT 10.0,1344x840,2,620,2,4,1.96,2.22,4.06,3.8,1.64,1.99,4.37,3.94,5.24,3.2,4.23,2.44,1.86,3.26,1.88,1.99,2.31,2.94,3.13,10.58,8,3.07,2.72,2.58,8.27,3.62,51.22,3.09,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,5,5,5,5,3,3,3,4,5,3,4,4,4,5,3,3,1,3,3,5,2,3,4, ,3, , ,1,1,3,3,3, , , , ,2, , ,3, ,2,3,4, ,4, ,1, , ,5,5,5,5,3,3,3,4,5,3,5,3,5,5,3,3,2,2,2,5,2,2,3,1,4,1,1,2,3,3,4,1,2,2,3,1,4,5,4,6,2,5,5,3,4,6,5,6,6,3.75,3.5,2.25,2,3,1.75,2,1.25,2.4375,18,1,Male,1,White,12,2, ,1, ,1,3,2,2,1,3,3,3,2,3,1,3.8,1.64,1.99,4.37,3.94,5.24,3.2,4.23,2.44,1.86,3.26,1.88,1.99,2.31,2.94,3.13,10.58,8,3.07,2.72,2.58,8.27,3.62,33.48,3.09,5.73208333333333,4.99291666666667,3,3,2,4,4,2,1,6,2,5,3,3,5,3,3,3,3,3,2,4,3,2,2,5,5,4,5,4,4,4,3,3.33333333333333,3.33333333333333,3,4.33333333333333,1,1,2,2,2,Low,Low,Moderate,Moderate,Moderate
1098,Chrome,Windows NT 10.0,1366x768,1,216,1,1,470.92,4.43,7.08,3.93,1.98,1.31,1.57,2.47,3.55,1.71,1.8,1.85,1.86,1.65,1.58,2.4,4.03,4.86,2.14,8.49,2.82,3.94,2.67,3.61,6.42,1.88,3.1,1.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,3,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,3,3,3,4,3,4,4,4,3,4,4,3,4,5,4,4,5,5,3,4,5,3,3,3,3,3,3,3,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,6,5,1,2,3,2,4,1,2,3,3,2,4,1,6,5,3,4,5,6,4,1,5,6,3,1,3.5,2,2,1,1,2,1.9375,36,3,female,2,white,12,2, , , ,0,2,2,1,2,1,3,2,1,2,1,3.93,1.98,1.31,1.57,2.47,3.55,1.71,1.8,1.85,1.86,1.65,1.58,2.4,4.03,4.86,2.14,8.49,2.82,3.94,2.67,3.61,6.42,1.88,3.1,1.59,2.88666666666667,2.88666666666667,3,6,6,6,6,1,4,5,6,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,6,1,4.66666666666667,5.16666666666667,1,1,4.33333333333333,2,2,1,1,2,Moderate,Moderate,Low,Low,Moderate
554,Safari iPad,iPad,768x1024,1,47,1,1,5.55,2.8,3.84,2.95,.75,1.96,1.35,3.81,1.85,1.14,1.75,1.06,1.65,1.69,.93,2.04,.69,1.14,1.25,1.12,.73,1.17,1.18,.72,1.36,.95,1.7,1.04,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,3,1,5,1,1,2,4,4,1,3,3,2,5,6,5,2,6,4,6,4,6,2,1,1,1.25,2.25,1,1,1,1.3125,63,3,Male,1,White,12,2, , , ,0,1,1,1,1,1,1,2,1,1,1,2.95,.75,1.96,1.35,3.81,1.85,1.14,1.75,1.06,1.65,1.69,.93,2.04,.69,1.14,1.25,1.12,.73,1.17,1.18,.72,1.36,.95,1.7,1.04,1.37625,1.37625,6,6,6,6,6,6,6,4,6,6,6,1,6,5,4,6,5,6,6,4,5,6,2,6,4,5,4,5,3,4,6,4.83333333333333,5.33333333333333,4.83333333333333,4.16666666666667,3,2,3,3,2,High,Moderate,High,High,Moderate
781,Chrome,Macintosh,1440x900,2,778,1,3,4.36,6.84,5.23,10.17,2.72,2.9,1.42,.42,2.22,.63,4.64,3.63,1.17,1.49,1.19,5.09,1.4,.61,.85,1.02,.58,1.27,.52,1.34,4.57,1.28,5.42,.75,1,3,1,1,3,1,3,1,3,3,1,3,1,3,3,3,1,3,1,3,3,1,3,1,1,6,5,4,2,2,5,5,3,4,5,1,5,3,5,5,5,2,5,1,5,2,2,5,3,1,3,2,3,4,4,2,1,3,2,2,5,4,3,2,3,3,3,1,5,1,4,4,3,2,5,6,4,4,3,3,5,5,4,4,4,1,4,3,5,5,5,3,4,2,5,4,3,4,4,1,1,2,1,1,1,4,2,3,4,5,2,2,4,3,4,3,5,3,5,5,6,6,6,6,2,2.25,2.5,2.25,2.25,1.75,2.25,2,2.15625,19,1,Female,2,White,12,2, , , ,0,1,3,2,2,2,3,2,2,2,1,10.17,2.72,2.9,1.42,.42,2.22,.63,4.64,3.63,1.17,1.49,1.19,5.09,1.4,.61,.85,1.02,.58,1.27,.52,1.34,4.57,1.28,5.42,.75,1.96375,1.96375,2,5,4,5,3,5,6,5,5,6,4,6,5,3,3,6,3,5,3,5,4,5,6,5,2,4,5,5,4,5,4,5.33333333333333,4.16666666666667,4.66666666666667,4.16666666666667,2,3,2,3,2,Moderate,High,Moderate,High,Moderate
970,Safari,Macintosh,1280x800,2,775,2,4,4.62,7.14,6.22,13.5,3.64,7.93,3.06,3.42,6.41,3.32,7.97,5.45,3.09,3.96,2.27,2.93,6.9,12.18,4.53,5.2,2.72,3.1,2.53,9.04,18.78,9.67,3.12,5.82,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,2,3,3,5,4,3,5,4,5,5,5,5,5,5,5,4,4,5,3,4,4,5,4,3,3,3,4,3,1,2,3,1,2,1,1,1,1,1,1,1,2,2,1,3,2,2,1,3,3,3,3,2,2,4,3,3,5,4,5,5,5,5,5,5,5,4,4,5,4,4,4,5,3,3,3,3,4,3,4,6,2,1,1,5,2,3,1,4,2,5,1,6,5,3,2,4,4,3,6,5,6,3.75,3.25,1,1.75,2.5,3,2,2.75,2.5,20,1,female,2,Asian,1,1,No, , ,0,3,2,3,3,3,1,2,2,3,1,13.5,3.64,7.93,3.06,3.42,6.41,3.32,7.97,5.45,3.09,3.96,2.27,2.93,6.9,12.18,4.53,5.2,2.72,3.1,2.53,9.04,18.78,9.67,3.12,5.82,5.71,5.71,5,6,5,4,5,2,5,5,5,6,5,2,6,5,5,4,3,4,5,6,5,3,4,4,5,4,3,5,3,5,4.5,4.66666666666667,4.5,4.5,4.16666666666667,2,2,3,2,2,Moderate,Moderate,High,Moderate,Moderate
1807,Chrome,Windows NT 6.3,1366x768,1,239,1,1,15.86,8.65,8.51,6.96,7.64,7.03,33.86,4.06,4.39,7.18,30.36,3.1,3.73,1.73,3.33,3.07,7.29,5.72,4.07,3.02,5.29,3.15,3.23,4.38,3.21,3.88,4.2,5.42,3,3,3,3,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,1,1,1,1,1,1,7,4,4,4,4,5,5,4,3,5,4,2,4,3,4,2,2,4,2,1,4,1,2,3,2,1,2,2,2,2,1,1,2,3,1,2,4, ,3,2,4,3,2,4,5,2,5,4,3,4,7,5,4,4,5,5,5,4,4,5,5,5,3,3,2,4,5,3,4,5,5,4,4,5,4,6,6,4,2,3,2,6,3,5,5,5,5,3,4,4,3,4,6,2,2,1,1,1,1,2,1.75,1.5,2,1.5,1.25,1.5,2.75,1.78125,63,3,Male,1,White,12,2,No questions, , ,0,1,2,1,3,1,2,1,1,1,1,6.96,7.64,7.03,33.48,4.06,4.39,7.18,30.36,3.1,3.73,1.73,3.33,3.07,7.29,5.72,4.07,3.02,5.29,3.15,3.23,4.38,3.21,3.88,4.2,5.42,6.76416666666667,6.74833333333333,5,5,5,6,6,6,5,5,5,6,5,5,5,5,5,6,6,4,5,4,5,4,2,6,5,3,5,4,4,4,5.5,5.16666666666667,5.16666666666667,4.33333333333333,4.16666666666667,3,2,3,2,2,High,Moderate,High,Moderate,Moderate
1009,Chrome,Windows NT 10.0,1366x768,1,182,1,1,2.43,15.89,11.79,5.19,1.29,2.28,2.22,2.89,2.68,2.24,2.32,1.63,1.43,2.53,2.83,2.48,1.55,2.28,1.51,2.36,1.43,10.75,2.6,1.81,2.23,2.59,13.41,2.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,4,5,5,5,5,2,4,4,3,2,5,5,4,5,4,3,3,5,4,4,3,2,1,1,3,1,1,1,1,1,2,2,3,2,4,1,1,3,1,2,2,3,1,4,3,4,3,4,1,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,5,3,3,2,1,2,2,1,1,2,2,3,2,1,2,1,5,3,5,4,3,4,4,5,3,4,5,6,6,6,6,3,2.5,1.75,1.75,2.5,1.25,1.75,3.5,2.25,28,2,Male,1,American,99,1, , , ,0,2,2,1,3,2,2,2,2,2,1,5.19,1.29,2.28,2.22,2.89,2.68,2.24,2.32,1.63,1.43,2.53,2.83,2.48,1.55,2.28,1.51,2.36,1.43,10.75,2.6,1.81,2.23,2.59,13.41,2.68,3.00083333333333,3.00083333333333,5,5,5,6,5,6,5,5,4,5,5,5,5,6,3,3,4,6,3,3,4,6,4,6,5,4,4,5,4,3,5.33333333333333,4.83333333333333,4.5,4.33333333333333,4.16666666666667,3,2,3,2,2,High,Moderate,High,Moderate,Moderate
1106,Chrome,Macintosh,1366x768,2,695,1,3,1.47,1.96,5.89,16.37,3.93,10.34,6.83,3.56,12.08,1.89,7.06,11.98,11.28,7.77,3.59,5.27,5.94,3.94,10,4.81,2.41,7.83,2.57,1.85,2.2,7.84,1.36,2.3,3,1,3,3,1,1,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,6,3,4,5,2,4,4,4,2,4,2,5,5,4,4,3,4,5,4,4,5,4,5,5,5,2,3,3,2,3,2,2,3,4,2,3,1,1,3,2,3,2,2,2,2,1,2,2,1,1,6,3,4,4,3,4,4,3,2,4,2,4,5,3,4,3,4,4,4,4,4,4,4,5,5, ,1,4,4,1,3, ,2, ,2,2,1, , ,6,3,4,6,5,3,5,5,6, ,2.5,2.5,1.75,1.75,2.5,1.75,2.75,1.5,2.125,19,1,female,2,asian,1,1, , , ,0,2,2,2,2,2,2,2,3,2,1,16.37,3.93,10.34,6.83,3.56,12.08,1.89,7.06,11.98,11.28,7.77,3.59,5.27,5.94,3.94,10,4.81,2.41,7.83,2.57,1.85,2.2,7.84,1.36,2.3,5.77625,5.77625,3,4,5,3,5,4,5,5,4,5,5,2,5,4,4,6,1,5,4,4,5,4,5,4,5,4,2,4,5,5,4,4.33333333333333,4.16666666666667,4.33333333333333,4.16666666666667,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
1421,Chrome,CrOS x86_64 10176.76.0,1536x864,1,138,1,1,7.18,8.99,86.54,3.62,1.19,1.57,6.53,2.15,2.31,1.81,1.7,1.68,10.77,1.43,5.43,2.2,3.2,3.58,1.91,1.72,17.51,2.65,2.33,1.94,92.21,2.05,1.37,6.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,4,4,5,3,2,4,4,4,3,3,4,3,3,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,3,4,2,2,2,3,3,2,3,3,4,5,5,4,4,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,2,4,5,2,4,3,3,2,3,1,2,1,1,1,2,5,3,2,2,4,4,3,5,4,6,3,6,5,6,4,5,6,2,1.5,1.5,1.5,2.75,2,2,1.25,1.8125,33,3,Female,2,Caucasian/Hispanic American,9,1,Thank you for allowing my participation!, , ,0,1,1,3,1,1,2,3,2,2,1,3.62,1.19,1.57,6.53,2.15,2.31,1.81,1.7,1.68,10.77,1.43,5.43,2.2,3.2,3.58,1.91,1.72,17.51,2.65,2.33,1.94,33.48,2.05,1.37,6.07,7.30458333333333,4.8575,4,3,5,4,4,3,4,3,5,3,4,4,2,3,3,5,5,4,5,2,5,5,4,5,5,2,5,4,4,5,3.83333333333333,3.83333333333333,3.66666666666667,4.33333333333333,4.16666666666667,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
976,Chrome,Macintosh,1440x900,2,596,2,4,3.82,5.45,7,5.53,3.09,3.79,2.09,2.37,1.81,3.47,3.91,1.37,3.4,4.7,1.32,5.84,11.1,4.34,1.91,1.56,2.12,1.48,3.02,5.88,1.68,1.32,21.95,3.99,1,1,1,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,3,4,3,4,4,4,4,3,4,2,3,3,4,4,5,4,4,5,4,4,3,2,2,2,3,3,2,3,2,2,2,2,3,2,3,3,4,3,2,2,2,3,2,2,3,3,3,5,4,3,3,5,3,4,4,3,3,2,4,3,4,2,2,4,3,5,3,4,4,4,4,1,2,1,4,3,5,3,1,2,1,2,3,4,2,4,4,5,5,6,6,5,3,6,6,3.75,1.5,1.5,3,2.25,2.25,2.5,1.5,2.28125,18,1,Female,2,Caucasion,12,2, , , ,0,3,3,3,2,1,2,2,3,3,1,5.53,3.09,3.79,2.09,2.37,1.81,3.47,3.91,1.37,3.4,4.7,1.32,5.84,11.1,4.34,1.91,1.56,2.12,1.48,3.02,5.88,1.68,1.32,21.95,3.99,4.06291666666667,4.06291666666667,6,5,5,5,5,5,5,5,5,5,5,4,6,5,5,5,4,4,5,4,5,5,2,4,4,4,4,4,5,4,5.16666666666667,4.83333333333333,4.83333333333333,4.16666666666667,4.16666666666667,2,2,3,2,2,Moderate,Moderate,High,Moderate,Moderate
598,Chrome,Windows NT 10.0,1366x768,1,284,2,2,3.35,2.57,2.07,5.42,2,2.49,1.79,1.85,10.49,.97,1.56,1.44,.85,1.44,1.2,1.92,3.36,1.31,1.78,3.49,4.05,2.32,2.42,2.33,3.2,1.74,3.99,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,2,2,3,5,5,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,3,2,1,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,4,5,5,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,4,3,4,1,3,3,3,4,2,2,2,1,5,1,1,5,4,4,6,4,2,5,5,6,3,6,6,3.5,2,2.5,2.25,3.5,1.25,1.5,2.5,2.375,29,2,Female,2,White American,12,2,Thank you for this opportunity., , ,0,3,3,1,3,2,3,3,1,3,1,5.42,2,2.49,1.79,1.85,10.49,.97,1.56,1.44,.85,1.44,1.2,1.92,3.36,1.31,1.78,3.49,4.05,2.32,2.42,2.33,3.2,1.74,3.99,1.3,2.47041666666667,2.47041666666667,6,6,6,6,6,2,5,5,6,5,5,1,4,5,4,6,5,4,4,2,5,5,3,6,5,4,3,3,5,5,5.33333333333333,4.5,4.66666666666667,4.16666666666667,4.16666666666667,3,2,3,2,2,High,Moderate,High,Moderate,Moderate
930,Chrome,Macintosh,1440x900,2,614,1,3,2.39,1.31,1.42,17.79,3.91,3.86,4.45,6.32,2.28,8.7,7.21,8.69,16.34,3.36,4.88,18.32,5.05,3,8.92,3.38,2.13,1.41,1.56,6.92,5.19,6.34,1.47,3.1,3,1,3,3,1,3,1,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,6,5,4,5,5,4,3,3,4,3,4,5,4,3,5,3,4,3,5,4,4,5,3,5,3,3,1,3,1,1,3,3,3,3,3,2,1,1,3,1,3,3,3,1,2,2,1,3,1,3,6,5,3,5,5,2,3,3,3,2,3,5,5,3,5,1,4,3,5,4,4,5,3,5,2,1,4,5,4,3,2,3,1,3,1,2,2,6,5,6,4,6,5,5,6,4,3,1,2,3.25,2.5,2.5,2,2.75,2.5,2.75,3,2.65625,20,1,male,1,Asian,1,1, , , ,0,3,2,3,3,2,3,3,3,3,1,17.79,3.91,3.86,4.45,6.32,2.28,8.7,7.21,8.69,16.34,3.36,4.88,18.32,5.05,3,8.92,3.38,2.13,1.41,1.56,6.92,5.19,6.34,1.47,3.1,5.69958333333333,5.69958333333333,3,4,4,5,6,2,4,4,5,5,6,6,5,4,4,6,3,5,5,4,4,6,3,3,4,4,4,5,4,4,4,5,4.5,4.16666666666667,4.16666666666667,2,2,3,2,2,Moderate,Moderate,High,Moderate,Moderate
929,Chrome,Macintosh,1440x900,2,576,2,4,2.14,1.95,2.85,5.64,1.53,2.55,1.36,2.01,2.26,3.97,2.13,1.42,1.99,3.25,2.25,2.4,3.48,25.62,6.07,6.64,1.71,6.85,5.18,5.26,1.46,11.27,5.43,1.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,4,5,4,4,4,4,5,5,4,3,2,4,3,2,4,1,2,4,1,1,1,1,1,4,1,1,1,1,2,4,2,1,1,2,4,3,3,4,4,2,4,4,4,4,4,5,5,5,4,5,5,5,5,4,3,4,4,5,3,4,4,3,3,2,3,2,2,4,2,2,2,2,2,1,1,3,3,2,4,1,2,2,3,1,2,3,5,5,4,4,4,5,6,5,6,6,6,3.5,2.75,2,1.75,2.25,2.25,2.5,1.75,2.34375,19,1,Male,1,Indian(Asian),5,1, , , ,0,3,2,3,2,3,2,2,3,3,1,5.64,1.53,2.55,1.36,2.01,2.26,3.97,2.13,1.42,1.99,3.25,2.25,2.4,3.48,25.62,6.07,6.64,1.71,6.85,5.18,5.26,1.46,11.27,5.43,1.95,4.50166666666667,4.50166666666667,4,5,6,5,4,6,5,4,4,6,5,1,4,5,3,4,5,3,4,4,3,6,4,4,5,5,2,5,4,4,5,4.16666666666667,4,4.16666666666667,4.16666666666667,2,2,2,2,2,Moderate,Moderate,Moderate,Moderate,Moderate
